objectid,City,Station ID,Station Name,Number of Docks,Installed,On/Off-Street,EPC Status,Transit Status,Latitude,Longitude,x,y
1,San Jose,SJ-Q9,Willow St at Vine St,15,2017-09-19,On-Street,1,1,37.3184498,-121.88317,-121.88317,37.3184498000001
2,San Jose,SJ-Q4,Willow St at Blewett Ave,23,2019-10-18,On-Street,0,1,37.3090141,-121.90001,-121.90001,37.3090141000001
3,San Jose,SJ-O12,William St at 10th St,23,2017-09-18,Off-Street,1,1,37.3327938,-121.87593,-121.87593,37.3327938
4,San Jose,SJ-P10-2,Virginia St at 2nd St,19,2017-06-29,On-Street,1,1,37.324414,-121.88078,-121.88078,37.324414
5,San Jose,SJ-L7-2,The Alameda at Bush St,23,2017-06-30,Off-Street,0,1,37.3319323,-121.90489,-121.90489,37.3319323000001
6,San Jose,SJ-I11,Taylor St at 9th St,23,2019-02-13,On-Street,0,1,37.3530617,-121.89194,-121.89194,37.3530617000001
7,San Jose,SJ-N5,Sunol St at San Carlos St,27,2019-03-29,On-Street,0,1,37.3234513,-121.90598,-121.90598,37.3234513
8,San Jose,SJ-J6,Stockton Ave at Lenzen Ave,23,2019-05-10,On-Street,0,1,37.3367748,-121.90915,-121.90915,37.3367748000001
9,San Jose,SJ-L11,St James St at 9th St,19,2019-12-13,On-Street,1,1,37.3432085,-121.88439,-121.88439,37.3432085000001
10,San Jose,SJ-R11,South San Jose State (7th St at Humboldt St),31,2019-05-09,On-Street,1,1,37.3203158,-121.8701,-121.8701,37.3203158000001
11,San Jose,SJ-E9,Sonora Ave at 1st St,15,2019-03-21,On-Street,1,1,37.3640605,-121.91173,-121.91173,37.3640605000001
12,San Jose,SJ-D9,Skyport Dr at Technology Dr,19,2019-03-26,On-Street,1,1,37.3652266,-121.91681,-121.91681,37.3652266
13,San Jose,SJ-L7-1,SAP Center,23,2017-07-13,Off-Street,0,1,37.332692,-121.90008,-121.90008,37.3326920000001
14,San Jose,SJ-M9-2,Santa Clara St at Almaden Blvd,11,2017-07-14,Off-Street,0,1,37.333988,-121.8949,-121.8949,37.333988
15,San Jose,SJ-M11-1,Santa Clara St at 7th St,15,2017-06-30,On-Street,1,1,37.3391456,-121.88411,-121.88411,37.3391456000001
16,San Jose,SJ-N11,San Salvador St at 9th St,19,2017-06-30,On-Street,1,1,37.333955,-121.87735,-121.87735,37.3339550000001
17,San Jose,SJ-H9,San Pedro St at Hedding St,23,2018-03-22,On-Street,0,1,37.352601,-121.90573,-121.90573,37.352601
18,San Jose,SJ-L9,San Pedro Square,15,2017-10-19,Off-Street,0,1,37.336802,-121.89409,-121.89409,37.336802
19,San Jose,SJ-M7-1,San Jose Diridon Station,35,2017-07-17,Off-Street,0,1,37.329732,-121.90178,-121.90178,37.329732
20,San Jose,SJ-M10-1,San Jose City Hall,23,2017-07-13,Off-Street,1,1,37.337391,-121.887,-121.887,37.337391
21,San Jose,SJ-M11-2,San Fernando St at 7th St,23,2017-07-12,On-Street,1,1,37.3371224,-121.88321,-121.88321,37.3371224000001
